fake_iin_bin;appeal_id;reg_number;current_working_state;status_overdue;applicant_type;person_age;citizenship;gender;issue;appeal_type;region;start_dt;deadline;finish_dt;appeal_decision;month_name;mark
911856239313;44463998825047;ЖТ-3218-1960013;Отказано;Завершено;Юридическое лицо;79;РОССИЯ;Женский;Социальное обеспечение;Заявление;Жетысуская;2024-10-03 16:08:42;2024-10-17 16:08:42;2024-11-08 16:08:42;Принять благоприятный акт;Сентябрь;Удовлетворительно
128355454532;37984122462630;ЖТ-8637-9402654;На рассмотрении;В работе;Физическое лицо;76;РОССИЯ;Женский;Здравоохранение;Заявление;Карагандинская;2023-12-11 12:55:13;2023-12-18 12:55:13;2024-01-13 12:55:13;Отказ;Март;Плохо
941629821539;24385291136889;ЖТ-1615-5940781;На рассмотрении;Отказано;Юридическое лицо;45;КАЗАХСТАН;Женский;Земельные отношения;Жалоба;Костанайская;2023-10-16 03:48:48;2023-11-06 03:48:48;2023-10-31 03:48:48;Принять благоприятный акт;Декабрь;
187525138707;51259826841841;ЖТ-9593-1034131;На рассмотрении;Завершено;Физическое лицо;38;РОССИЯ;Мужской;Здравоохранение;Предложение;Костанайская;2025-06-04 10:13:11;2025-06-12 10:13:11;2025-06-21 10:13:11;Рассмотрено;Июнь;Хорошо
797732084371;61345621533406;ЖТ-2553-4192832;В работе;В работе;Юридическое лицо;49;КАЗАХСТАН;Мужской;Здравоохранение;Запрос;Мангистауская;2024-03-28 06:12:42;2024-04-09 06:12:42;2024-04-26 06:12:42;Принять благоприятный акт;Июнь;Удовлетворительно
804054194082;88386108785092;ЖТ-3503-0564139;Отказано;На рассмотрении;Юридическое лицо;69;УЗБЕКИСТАН;Мужской;Жилищный вопрос;Запрос;Атырауская;2024-05-27 06:08:43;2024-06-06 06:08:43;2024-06-01 06:08:43;Рассмотрено;Август;Удовлетворительно
333279765207;80259890115605;ЖТ-6724-2388496;В работе;Завершено;Юридическое лицо;27;КАЗАХСТАН;Мужской;Жилищный вопрос;Жалоба;Карагандинская;2025-03-25 18:04:40;2025-04-02 18:04:40;2025-05-04 18:04:40;Рассмотрено;Декабрь;Плохо
496852403351;29469076176880;ЖТ-8710-1226916;В работе;Отказано;Юридическое лицо;85;КАЗАХСТАН;Женский;Жилищный вопрос;Жалоба;Павлодарская;2025-04-10 10:13:16;2025-04-30 10:13:16;2025-04-18 10:13:16;Предоставить ответ;Июль;Хорошо
615379416985;45384213113257;ЖТ-8018-4514627;На рассмотрении;На рассмотрении;Юридическое лицо;58;УЗБЕКИСТАН;Женский;Земельные отношения;Заявление;Улытауская;2024-03-29 08:23:15;2024-04-23 08:23:15;2024-05-04 08:23:15;Рассмотрено;Январь;Плохо
390853813771;80454522783883;ЖТ-2814-8932528;Отказано;В работе;Юридическое лицо;72;УЗБЕКИСТАН;Женский;Здравоохранение;Запрос;Абайская;2023-06-26 22:55:00;2023-07-25 22:55:00;2023-07-30 22:55:00;Принять благоприятный акт;Январь;Удовлетворительно
683782409157;10081254310877;ЖТ-9570-1543039;Отказано;В работе;Физическое лицо;55;УЗБЕКИСТАН;Мужской;Земельные отношения;Заявление;Жамбылская;2025-05-21 02:19:16;2025-06-04 02:19:16;2025-05-25 02:19:16;Предоставить ответ;Ноябрь;Хорошо
903526763113;84971920913093;ЖТ-2278-2489638;Завершено;В работе;Физическое лицо;66;РОССИЯ;Мужской;Здравоохранение;Запрос;Жетысуская;2025-05-16 07:29:04;2025-06-12 07:29:04;2025-05-30 07:29:04;Отказ;Январь;Удовлетворительно
322006291036;53871858053862;ЖТ-6578-7133150;Отказано;Отказано;Физическое лицо;61;КАЗАХСТАН;Мужской;Жилищный вопрос;Заявление;Алматинская;2024-12-27 06:58:05;2025-01-16 06:58:05;2025-01-15 06:58:05;Отказ;Июль;Удовлетворительно
745233429651;11010263141046;ЖТ-1031-0518347;На рассмотрении;На рассмотрении;Физическое лицо;52;КАЗАХСТАН;Женский;Жилищный вопрос;Заявление;Шымкент;2024-08-27 07:58:02;2024-09-06 07:58:02;2024-09-02 07:58:02;Отказ;Май;
895137224815;91095730127194;ЖТ-7376-3116566;Отказано;Завершено;Физическое лицо;47;УЗБЕКИСТАН;Женский;Земельные отношения;Жалоба;Кызылординская;2023-11-28 01:55:05;2023-12-27 01:55:05;2023-12-11 01:55:05;Рассмотрено;Август;Удовлетворительно
158965931802;18530227751406;ЖТ-6513-3387262;Завершено;В работе;Физическое лицо;83;УЗБЕКИСТАН;Мужской;Социальное обеспечение;Предложение;Кызылординская;2024-05-30 17:40:25;2024-06-18 17:40:25;2024-06-14 17:40:25;Отказ;Ноябрь;Удовлетворительно
185569774204;23780618714787;ЖТ-0801-3267736;Отказано;В работе;Юридическое лицо;57;РОССИЯ;Женский;Здравоохранение;Заявление;Мангистауская;2024-01-14 01:20:28;2024-02-01 01:20:28;2024-02-14 01:20:28;Предоставить ответ;Июль;Удовлетворительно
517318938760;47324942650916;ЖТ-7468-7234309;Отказано;В работе;Физическое лицо;50;КАЗАХСТАН;Мужской;Предпринимательство;Запрос;Карагандинская;2025-04-13 19:12:59;2025-05-01 19:12:59;2025-05-04 19:12:59;Отказ;Сентябрь;Плохо
920600564299;18045820667834;ЖТ-0978-8208121;На рассмотрении;Отказано;Физическое лицо;65;КАЗАХСТАН;Мужской;Здравоохранение;Жалоба;Кызылординская;2024-12-13 00:36:44;2024-12-30 00:36:44;2025-01-19 00:36:44;Рассмотрено;Январь;
543391824534;90177978269337;ЖТ-3990-9169985;На рассмотрении;Отказано;Юридическое лицо;47;КАЗАХСТАН;Мужской;Земельные отношения;Жалоба;Мангистауская;2024-09-01 05:53:28;2024-10-01 05:53:28;2024-10-11 05:53:28;Предоставить ответ;Июнь;
835316694200;54219764332685;ЖТ-3462-4751079;На рассмотрении;В работе;Юридическое лицо;66;РОССИЯ;Мужской;Предпринимательство;Предложение;Павлодарская;2025-05-07 08:50:34;2025-06-02 08:50:34;2025-05-13 08:50:34;Предоставить ответ;Ноябрь;Хорошо
211652384077;85664753506016;ЖТ-3842-5135427;На рассмотрении;Отказано;Физическое лицо;45;РОССИЯ;Женский;Земельные отношения;Заявление;Костанайская;2025-06-22 22:26:43;2025-07-05 22:26:43;2025-07-11 22:26:43;Отказ;Январь;Хорошо
433734162755;84443181981158;ЖТ-0841-2411824;Завершено;На рассмотрении;Юридическое лицо;42;УЗБЕКИСТАН;Женский;Здравоохранение;Запрос;Туркестанская;2025-02-22 14:50:15;2025-03-23 14:50:15;2025-03-27 14:50:15;Предоставить ответ;Январь;
886883662637;38653199491242;ЖТ-4874-0164005;В работе;Завершено;Физическое лицо;74;КАЗАХСТАН;Женский;Здравоохранение;Предложение;Туркестанская;2024-01-16 09:38:13;2024-01-30 09:38:13;2024-01-30 09:38:13;Предоставить ответ;Июль;Хорошо
277218748445;72185720074015;ЖТ-8680-1128059;Завершено;Завершено;Физическое лицо;69;КАЗАХСТАН;Мужской;Социальное обеспечение;Жалоба;Актюбинская;2025-01-07 20:54:48;2025-01-22 20:54:48;2025-01-29 20:54:48;Принять благоприятный акт;Ноябрь;Удовлетворительно
239284873367;53383644310494;ЖТ-5053-3158692;Завершено;В работе;Физическое лицо;74;РОССИЯ;Мужской;Земельные отношения;Предложение;Кызылординская;2024-08-01 04:37:34;2024-08-10 04:37:34;2024-09-03 04:37:34;Отказ;Январь;Удовлетворительно
992493718889;13489284235375;ЖТ-2563-4216073;Завершено;Завершено;Юридическое лицо;85;РОССИЯ;Мужской;Здравоохранение;Запрос;ЗКО;2025-04-30 20:04:06;2025-05-25 20:04:06;2025-05-08 20:04:06;Предоставить ответ;Ноябрь;Удовлетворительно
606455894514;52951174731491;ЖТ-3303-6541458;Завершено;Отказано;Физическое лицо;41;УЗБЕКИСТАН;Мужской;Предпринимательство;Жалоба;Туркестанская;2023-11-17 08:50:11;2023-12-05 08:50:11;2023-12-22 08:50:11;Отказ;Октябрь;Плохо
463080281895;13886684428409;ЖТ-1429-4019655;Отказано;В работе;Физическое лицо;78;КАЗАХСТАН;Мужской;Земельные отношения;Предложение;СКО;2024-04-11 12:59:27;2024-04-22 12:59:27;2024-05-11 12:59:27;Принять благоприятный акт;Декабрь;Плохо
662573009263;64211573904985;ЖТ-9340-6088356;Завершено;В работе;Физическое лицо;56;РОССИЯ;Мужской;Предпринимательство;Заявление;Актюбинская;2024-05-08 08:40:10;2024-05-27 08:40:10;2024-05-16 08:40:10;Принять благоприятный акт;Сентябрь;Удовлетворительно
784317998415;27539993667475;ЖТ-4846-5648236;Завершено;Завершено;Юридическое лицо;39;КАЗАХСТАН;Мужской;Жилищный вопрос;Заявление;Жамбылская;2023-08-14 16:46:07;2023-09-01 16:46:07;2023-08-19 16:46:07;Принять благоприятный акт;Март;Хорошо
844657758783;96625942834756;ЖТ-9468-0443699;Отказано;На рассмотрении;Физическое лицо;25;РОССИЯ;Женский;Предпринимательство;Заявление;ВКО;2024-10-22 07:14:42;2024-10-30 07:14:42;2024-11-27 07:14:42;Отказ;Сентябрь;
587328413513;81941620048538;ЖТ-7214-8951343;В работе;На рассмотрении;Физическое лицо;37;КАЗАХСТАН;Женский;Жилищный вопрос;Предложение;Павлодарская;2024-10-14 20:00:22;2024-11-09 20:00:22;2024-11-16 20:00:22;Предоставить ответ;Август;Плохо
126402684235;44458721102224;ЖТ-7917-6936763;В работе;Отказано;Физическое лицо;33;КАЗАХСТАН;Женский;Социальное обеспечение;Предложение;Шымкент;2025-02-02 18:17:41;2025-02-17 18:17:41;2025-02-09 18:17:41;Рассмотрено;Март;Удовлетворительно
107248283084;25001828841737;ЖТ-6328-7083172;Отказано;В работе;Физическое лицо;20;УЗБЕКИСТАН;Женский;Здравоохранение;Жалоба;Кызылординская;2023-10-10 09:10:16;2023-10-22 09:10:16;2023-10-26 09:10:16;Рассмотрено;Апрель;Хорошо
682687809473;88662274024708;ЖТ-9579-8687277;В работе;На рассмотрении;Юридическое лицо;50;РОССИЯ;Женский;Жилищный вопрос;Заявление;Актюбинская;2025-01-30 00:04:21;2025-02-21 00:04:21;2025-02-26 00:04:21;Отказ;Июнь;
403386445743;78202024658835;ЖТ-3471-4345581;Завершено;В работе;Физическое лицо;84;РОССИЯ;Женский;Жилищный вопрос;Запрос;Улытауская;2023-12-30 22:02:35;2024-01-23 22:02:35;2024-01-11 22:02:35;Рассмотрено;Март;Плохо
521900055512;31507881742833;ЖТ-3166-5876036;На рассмотрении;Завершено;Юридическое лицо;54;РОССИЯ;Женский;Предпринимательство;Жалоба;Алматы;2023-10-03 15:55:44;2023-10-27 15:55:44;2023-10-13 15:55:44;Предоставить ответ;Октябрь;
743256374783;63534944948575;ЖТ-7054-6688937;На рассмотрении;Завершено;Физическое лицо;71;РОССИЯ;Женский;Здравоохранение;Жалоба;СКО;2024-04-04 02:08:30;2024-05-01 02:08:30;2024-05-13 02:08:30;Рассмотрено;Апрель;Удовлетворительно
634447845982;64726597946298;ЖТ-5627-2980699;Завершено;Завершено;Юридическое лицо;18;КАЗАХСТАН;Женский;Земельные отношения;Заявление;Павлодарская;2023-12-01 20:48:58;2023-12-17 20:48:58;2023-12-05 20:48:58;Предоставить ответ;Ноябрь;Плохо
