FAKE_IIN;FLREQUESTDATE;FLQUEUEDATE;FLCATEGORY;FLSUBCATEGORY;FLQUEUENUMBER;N_APPLICATIONS;IN_FL;ADDRESS_REGISTRATION_STATUS;REGION_APPLICANT;REAL_ESTATE_STATUS;DEAD_STATUS;N_CRITERIA_FAILED;STATUS_FAILED;SK_FAMILY_ID;FAMILY_CAT_NEW;CNT_MEM;SDU_LOAD_IN_DT
346122437450;2024-02-20 03:49:23;2021-03-14 03:49:23;Госслужащие;Пенсионеры по возрасту;7829;4;ИИН есть в реестре ФЛ;Нет прописки;Павлодарская;Нет недвижимости;Умер;2;Не соответствует;78741351;D;9;2025-06-10 17:02:38
495163888944;2024-01-17 11:01:48;2021-08-20 11:01:48;Социально-уязвимые;Малообеспеченные;1122;2;ИИН есть в реестре ФЛ;Нет прописки;ЗКО;Нет недвижимости;Живой;3;Не соответствует;53883979;D;1;2025-06-03 08:48:39
991419659853;2024-10-15 16:53:32;2023-11-29 16:53:32;Многодетные семьи;Лица с инвалидностью;2285;2;ИИН есть в реестре ФЛ;Нет прописки;Шымкент;Нет недвижимости;Живой;3;Соответствует;72223766;B;1;2025-06-20 22:45:07
640169783845;2025-04-04 02:05:56;2024-02-08 02:05:56;Пенсионеры;Неполная семья;7661;2;ИИН есть в реестре ФЛ;Есть прописка;СКО;Есть недвижимость;Умер;0;Не соответствует;47195371;B;4;2025-06-23 07:52:06
746890320147;2024-03-11 20:19:56;2023-11-13 20:19:56;Пенсионеры;Неполная семья;8460;2;ИИН есть в реестре ФЛ;Нет прописки;Павлодарская;Есть недвижимость;Умер;2;Не соответствует;13675051;C;4;2025-05-29 21:27:23
249545802074;2024-05-28 00:24:57;2022-06-21 00:24:57;Социально-уязвимые;Пенсионеры по возрасту;5498;3;ИИН есть в реестре ФЛ;Есть прописка;Павлодарская;Есть недвижимость;Умер;2;Частично соответствует;48403560;D;6;2025-06-13 05:57:21
268107785214;2024-03-04 02:51:22;2020-06-28 02:51:22;Неполные семьи;Малообеспеченные;8095;2;ИИН есть в реестре ФЛ;Есть прописка;Атырауская;Нет недвижимости;Умер;3;Соответствует;55273219;B;8;2025-06-11 16:12:14
893959802637;2023-10-15 09:58:05;2022-02-22 09:58:05;Госслужащие;Пенсионеры по возрасту;7083;4;ИИН есть в реестре ФЛ;Нет прописки;ВКО;Нет недвижимости;Умер;3;Соответствует;42646251;D;7;2025-06-21 20:27:23
452556645289;2024-09-21 00:30:56;2022-07-20 00:30:56;Госслужащие;Неполная семья;6014;3;ИИН есть в реестре ФЛ;Нет прописки;Костанайская;Есть недвижимость;Умер;2;Соответствует;54240642;C;6;2025-06-14 20:45:40
200169420625;2023-11-16 22:13:41;2021-10-19 22:13:41;Социально-уязвимые;Пенсионеры по возрасту;7144;3;ИИН есть в реестре ФЛ;Есть прописка;ВКО;Есть недвижимость;Живой;1;Не соответствует;78414990;A;4;2025-06-21 05:40:54
989402920707;2024-06-13 04:16:54;2024-01-20 04:16:54;Социально-уязвимые;Пенсионеры по возрасту;8813;5;ИИН есть в реестре ФЛ;Нет прописки;ЗКО;Есть недвижимость;Умер;2;Соответствует;76432496;A;8;2025-06-08 19:36:50
141470142860;2024-04-23 22:26:28;2022-10-25 22:26:28;Госслужащие;Семьи с детьми-инвалидами;4946;3;ИИН есть в реестре ФЛ;Нет прописки;Карагандинская;Есть недвижимость;Живой;2;Не соответствует;18003691;D;9;2025-05-25 15:32:46
955350089134;2024-02-29 05:24:52;2021-11-04 05:24:52;Госслужащие;Пенсионеры по возрасту;2978;3;ИИН есть в реестре ФЛ;Нет прописки;Абайская;Нет недвижимости;Умер;2;Частично соответствует;26807924;A;5;2025-06-20 10:37:46
938644406901;2024-05-05 18:52:27;2021-12-14 18:52:27;Социально-уязвимые;Неполная семья;7732;3;ИИН есть в реестре ФЛ;Есть прописка;Жетысуская;Есть недвижимость;Умер;1;Соответствует;89667387;D;3;2025-06-08 18:06:14
893852589451;2024-06-30 16:25:04;2020-07-09 16:25:04;Пенсионеры;Лица с инвалидностью;1496;2;ИИН есть в реестре ФЛ;Нет прописки;Абайская;Есть недвижимость;Живой;1;Соответствует;51322838;D;8;2025-06-11 02:25:16
854301849847;2024-01-31 18:20:58;2020-09-02 18:20:58;Госслужащие;Пенсионеры по возрасту;1617;3;ИИН есть в реестре ФЛ;Нет прописки;Мангистауская;Нет недвижимости;Живой;2;Не соответствует;66293674;B;1;2025-06-02 15:32:53
104496820806;2024-04-23 03:59:39;2022-02-15 03:59:39;Многодетные семьи;Семьи с детьми-инвалидами;7451;2;ИИН есть в реестре ФЛ;Есть прописка;Актюбинская;Нет недвижимости;Живой;2;Соответствует;19350396;A;7;2025-06-03 15:44:54
504185894842;2024-03-12 05:26:16;2021-03-22 05:26:16;Пенсионеры;Лица с инвалидностью;8709;1;ИИН есть в реестре ФЛ;Нет прописки;Туркестанская;Есть недвижимость;Умер;0;Не соответствует;52689097;A;5;2025-06-06 16:27:05
750588786424;2023-07-13 14:02:11;2021-06-26 14:02:11;Пенсионеры;Лица с инвалидностью;7502;5;ИИН есть в реестре ФЛ;Есть прописка;Мангистауская;Нет недвижимости;Умер;2;Соответствует;12076558;C;7;2025-06-07 03:54:06
837479500723;2024-09-21 11:05:19;2023-07-21 11:05:19;Госслужащие;Малообеспеченные;7782;2;ИИН есть в реестре ФЛ;Нет прописки;Атырауская;Есть недвижимость;Живой;3;Не соответствует;60994383;C;4;2025-06-15 00:41:00
817240805812;2025-06-06 01:33:14;2023-04-06 01:33:14;Социально-уязвимые;Малообеспеченные;4143;5;ИИН есть в реестре ФЛ;Есть прописка;Алматинская;Нет недвижимости;Умер;2;Частично соответствует;77623617;A;3;2025-05-29 21:30:47
306626607507;2024-08-19 18:19:35;2024-06-30 18:19:35;Многодетные семьи;Малообеспеченные;6111;1;ИИН есть в реестре ФЛ;Есть прописка;ЗКО;Нет недвижимости;Умер;0;Не соответствует;39462506;D;4;2025-06-01 20:06:07
551336682496;2025-04-24 18:26:25;2022-03-04 18:26:25;Социально-уязвимые;Неполная семья;3018;5;ИИН есть в реестре ФЛ;Нет прописки;Абайская;Нет недвижимости;Умер;1;Не соответствует;82150060;B;6;2025-06-03 17:19:39
